Site Name ,ODYTEST4594
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,4594


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

509,28/05/2023 , 08:15:00,1800,1800
510,28/05/2023 , 08:30:00,2108,2108
511,28/05/2023 , 08:45:00,1483,1483
512,28/05/2023 , 09:00:00,1111,1111
513,28/05/2023 , 09:15:00,1072,1072
514,28/05/2023 , 09:30:00,1035,1035
515,28/05/2023 , 09:45:00,939,939
516,28/05/2023 , 10:00:00,1096,1096
517,28/05/2023 , 10:15:00,1344,1344
518,28/05/2023 , 10:30:00,1161,1161
519,28/05/2023 , 10:45:00,1342,1342
520,28/05/2023 , 11:00:00,1639,1639
521,28/05/2023 , 11:15:00,1713,1713
522,28/05/2023 , 11:30:00,1672,1672
523,28/05/2023 , 11:45:00,1752,1752
524,28/05/2023 , 12:00:00,1970,1970
525,28/05/2023 , 12:15:00,2824,2824
526,28/05/2023 , 12:30:00,3193,3193
527,28/05/2023 , 12:45:00,3438,3438
528,28/05/2023 , 13:00:00,3471,3471
529,28/05/2023 , 13:15:00,3327,3327
530,28/05/2023 , 13:30:00,3347,3347
531,28/05/2023 , 13:45:00,3355,3355
532,28/05/2023 , 14:00:00,3152,3152
533,28/05/2023 , 14:15:00,2636,2636
534,28/05/2023 , 14:30:00,3066,3066
535,28/05/2023 , 14:45:00,3362,3362
536,28/05/2023 , 15:00:00,3603,3603
537,28/05/2023 , 15:15:00,3196,3196
538,28/05/2023 , 15:30:00,3146,3146
539,28/05/2023 , 15:45:00,2812,2812
540,28/05/2023 , 16:00:00,2585,2585
541,28/05/2023 , 16:15:00,2245,2245
542,28/05/2023 , 16:30:00,2131,2131
543,28/05/2023 , 16:45:00,2092,2092
544,28/05/2023 , 17:00:00,1894,1894
545,28/05/2023 , 17:15:00,1825,1825
546,28/05/2023 , 17:30:00,1293,1293
547,28/05/2023 , 17:45:00,939,939
548,28/05/2023 , 18:00:00,989,989
549,28/05/2023 , 18:15:00,1186,1186
550,28/05/2023 , 18:30:00,1022,1022
551,28/05/2023 , 18:45:00,814,814
552,28/05/2023 , 19:00:00,643,643
553,28/05/2023 , 19:15:00,437,437
554,28/05/2023 , 19:30:00,329,329
555,28/05/2023 , 19:45:00,245,245
556,28/05/2023 , 20:00:00,200,200
557,28/05/2023 , 20:15:00,153,153
558,28/05/2023 , 20:30:00,101,101
559,28/05/2023 , 20:45:00,61,61
560,28/05/2023 , 21:00:00,26,26
561,28/05/2023 , 21:15:00,9,9
562,28/05/2023 , 21:30:00,1,1
563,28/05/2023 , 21:45:00,0,0
564,28/05/2023 , 22:00:00,0,0
565,28/05/2023 , 22:15:00,0,0
566,28/05/2023 , 22:30:00,0,0
567,28/05/2023 , 22:45:00,0,0
568,28/05/2023 , 23:00:00,0,0
569,28/05/2023 , 23:15:00,0,0
570,28/05/2023 , 23:30:00,0,0
571,28/05/2023 , 23:45:00,0,0
572,28/05/2023 , 24:00:00,0,0
573,29/05/2023 , 00:15:00,0,0
574,29/05/2023 , 00:30:00,0,0
575,29/05/2023 , 00:45:00,0,0
576,29/05/2023 , 01:00:00,0,0
577,29/05/2023 , 01:15:00,0,0
578,29/05/2023 , 01:30:00,0,0
579,29/05/2023 , 01:45:00,0,0
580,29/05/2023 , 02:00:00,0,0
581,29/05/2023 , 02:15:00,0,0
582,29/05/2023 , 02:30:00,0,0
583,29/05/2023 , 02:45:00,0,0
584,29/05/2023 , 03:00:00,0,0
585,29/05/2023 , 03:15:00,0,0
586,29/05/2023 , 03:30:00,0,0
587,29/05/2023 , 03:45:00,0,0
588,29/05/2023 , 04:00:00,0,0
589,29/05/2023 , 04:15:00,0,0
590,29/05/2023 , 04:30:00,0,0
591,29/05/2023 , 04:45:00,0,0
592,29/05/2023 , 05:00:00,0,0
593,29/05/2023 , 05:15:00,3,3
594,29/05/2023 , 05:30:00,21,21
595,29/05/2023 , 05:45:00,63,63
