"Plot Title: 21235771"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 21235771, SEN S/N: 21235771)","High Range, μS/cm (LGR S/N: 21235771, SEN S/N: 21235771)","Temp, °C (LGR S/N: 21235771, SEN S/N: 21235771)","Specific Conductance, μS/cm (LGR S/N: 21235771)","Salinity, ppt (LGR S/N: 21235771)"
164,05/24/23 05:45:00 PM,29698.9,28442.0,12.36,37493.3,23.7545
165,05/24/23 06:00:00 PM,29698.9,28410.0,12.42,37397.6,23.6873
166,05/24/23 06:15:00 PM,29557.6,28351.6,12.49,37258.8,23.5900
167,05/24/23 06:30:00 PM,29227.9,28106.9,12.59,36851.0,23.3042
168,05/24/23 06:45:00 PM,28999.7,27944.7,12.68,36561.0,23.1013
169,05/24/23 07:00:00 PM,28995.5,27923.8,12.62,36586.2,23.1189
170,05/24/23 07:15:00 PM,28767.3,27747.4,12.67,36313.1,22.9280
171,05/24/23 07:30:00 PM,28327.1,27398.4,12.73,35807.8,22.5753
172,05/24/23 07:45:00 PM,27894.4,27073.0,12.65,35452.7,22.3278
173,05/24/23 08:00:00 PM,32619.0,30273.1,10.41,41824.5,26.8193
174,05/24/23 08:15:00 PM,32765.2,30386.8,10.33,42063.2,26.9897
175,05/24/23 08:30:00 PM,32765.2,30396.5,10.30,42107.7,27.0214
176,05/24/23 08:45:00 PM,32765.2,30300.0,10.39,41882.0,26.8604
177,05/24/23 09:00:00 PM,32147.0,29935.2,10.75,41017.1,26.2443
178,05/24/23 09:15:00 PM,30182.9,28654.4,11.58,38488.0,24.4539
179,05/24/23 09:30:00 PM,29781.9,28378.1,12.07,37670.9,23.8792
180,05/24/23 09:45:00 PM,27831.4,26947.8,12.85,35121.8,22.0976
181,05/24/23 10:00:00 PM,29661.9,28291.5,12.02,37602.0,23.8308
182,05/24/23 10:15:00 PM,30980.7,29172.9,11.17,39571.8,25.2191
183,05/24/23 10:30:00 PM,31416.6,29455.1,10.99,40127.7,25.6128
184,05/24/23 10:45:00 PM,31575.1,29533.2,10.94,40282.5,25.7225
185,05/24/23 11:00:00 PM,31685.3,29645.2,10.85,40523.3,25.8934
