Site Name ,ODYLIGHT
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,5991


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

247,25/05/2023 , 14:45:00,4727,4727
248,25/05/2023 , 15:00:00,4443,4443
249,25/05/2023 , 15:15:00,4107,4107
250,25/05/2023 , 15:30:00,3852,3852
251,25/05/2023 , 15:45:00,3467,3467
252,25/05/2023 , 16:00:00,3114,3114
253,25/05/2023 , 16:15:00,2932,2932
254,25/05/2023 , 16:30:00,2584,2584
255,25/05/2023 , 16:45:00,2251,2251
256,25/05/2023 , 17:00:00,1872,1872
257,25/05/2023 , 17:15:00,1549,1549
258,25/05/2023 , 17:30:00,1109,1109
259,25/05/2023 , 17:45:00,1030,1030
260,25/05/2023 , 18:00:00,867,867
261,25/05/2023 , 18:15:00,651,651
262,25/05/2023 , 18:30:00,513,513
263,25/05/2023 , 18:45:00,397,397
264,25/05/2023 , 19:00:00,320,320
265,25/05/2023 , 19:15:00,252,252
266,25/05/2023 , 19:30:00,193,193
267,25/05/2023 , 19:45:00,149,149
268,25/05/2023 , 20:00:00,116,116
269,25/05/2023 , 20:15:00,76,76
270,25/05/2023 , 20:30:00,49,49
271,25/05/2023 , 20:45:00,26,26
272,25/05/2023 , 21:00:00,11,11
273,25/05/2023 , 21:15:00,3,3
274,25/05/2023 , 21:30:00,1,1
275,25/05/2023 , 21:45:00,0,0
276,25/05/2023 , 22:00:00,0,0
277,25/05/2023 , 22:15:00,0,0
278,25/05/2023 , 22:30:00,0,0
279,25/05/2023 , 22:45:00,0,0
280,25/05/2023 , 23:00:00,0,0
281,25/05/2023 , 23:15:00,0,0
282,25/05/2023 , 23:30:00,0,0
283,25/05/2023 , 23:45:00,0,0
284,25/05/2023 , 24:00:00,0,0
285,26/05/2023 , 00:15:00,0,0
286,26/05/2023 , 00:30:00,0,0
287,26/05/2023 , 00:45:00,0,0
288,26/05/2023 , 01:00:00,0,0
289,26/05/2023 , 01:15:00,0,0
290,26/05/2023 , 01:30:00,0,0
291,26/05/2023 , 01:45:00,0,0
292,26/05/2023 , 02:00:00,0,0
293,26/05/2023 , 02:15:00,0,0
294,26/05/2023 , 02:30:00,0,0
295,26/05/2023 , 02:45:00,0,0
296,26/05/2023 , 03:00:00,0,0
297,26/05/2023 , 03:15:00,0,0
298,26/05/2023 , 03:30:00,0,0
299,26/05/2023 , 03:45:00,0,0
300,26/05/2023 , 04:00:00,0,0
301,26/05/2023 , 04:15:00,0,0
302,26/05/2023 , 04:30:00,0,0
303,26/05/2023 , 04:45:00,0,0
304,26/05/2023 , 05:00:00,0,0
305,26/05/2023 , 05:15:00,3,3
306,26/05/2023 , 05:30:00,12,12
307,26/05/2023 , 05:45:00,31,31
308,26/05/2023 , 06:00:00,55,55
309,26/05/2023 , 06:15:00,84,84
310,26/05/2023 , 06:30:00,109,109
311,26/05/2023 , 06:45:00,129,129
312,26/05/2023 , 07:00:00,145,145
313,26/05/2023 , 07:15:00,161,161
314,26/05/2023 , 07:30:00,175,175
315,26/05/2023 , 07:45:00,189,189
316,26/05/2023 , 08:00:00,197,197
317,26/05/2023 , 08:15:00,222,222
318,26/05/2023 , 08:30:00,301,301
319,26/05/2023 , 08:45:00,609,609
320,26/05/2023 , 09:00:00,1392,1392
321,26/05/2023 , 09:15:00,1104,1104
322,26/05/2023 , 09:30:00,1861,1861
323,26/05/2023 , 09:45:00,1940,1940
324,26/05/2023 , 10:00:00,1461,1461
325,26/05/2023 , 10:15:00,1747,1747
326,26/05/2023 , 10:30:00,2442,2442
327,26/05/2023 , 10:45:00,3046,3046
328,26/05/2023 , 11:00:00,3239,3239
329,26/05/2023 , 11:15:00,3501,3501
330,26/05/2023 , 11:30:00,3604,3604
331,26/05/2023 , 11:45:00,3704,3704
332,26/05/2023 , 12:00:00,3807,3807
333,26/05/2023 , 12:15:00,3938,3938
334,26/05/2023 , 12:30:00,3299,3299
335,26/05/2023 , 12:45:00,2717,2717
336,26/05/2023 , 13:00:00,2701,2701
337,26/05/2023 , 13:15:00,2727,2727
338,26/05/2023 , 13:30:00,4034,4034
339,26/05/2023 , 13:45:00,4367,4367
340,26/05/2023 , 14:00:00,4288,4288
341,26/05/2023 , 14:15:00,4329,4329
342,26/05/2023 , 14:30:00,4324,4324
343,26/05/2023 , 14:45:00,4236,4236
344,26/05/2023 , 15:00:00,4111,4111
345,26/05/2023 , 15:15:00,3964,3964
346,26/05/2023 , 15:30:00,3821,3821
347,26/05/2023 , 15:45:00,3597,3597
348,26/05/2023 , 16:00:00,3379,3379
349,26/05/2023 , 16:15:00,3035,3035
350,26/05/2023 , 16:30:00,1855,1855
351,26/05/2023 , 16:45:00,2100,2100
352,26/05/2023 , 17:00:00,2007,2007
353,26/05/2023 , 17:15:00,1897,1897
354,26/05/2023 , 17:30:00,1521,1521
355,26/05/2023 , 17:45:00,1351,1351
356,26/05/2023 , 18:00:00,877,877
357,26/05/2023 , 18:15:00,738,738
358,26/05/2023 , 18:30:00,595,595
359,26/05/2023 , 18:45:00,541,541
360,26/05/2023 , 19:00:00,451,451
361,26/05/2023 , 19:15:00,383,383
362,26/05/2023 , 19:30:00,304,304
363,26/05/2023 , 19:45:00,221,221
364,26/05/2023 , 20:00:00,153,153
365,26/05/2023 , 20:15:00,92,92
366,26/05/2023 , 20:30:00,58,58
367,26/05/2023 , 20:45:00,26,26
368,26/05/2023 , 21:00:00,11,11
369,26/05/2023 , 21:15:00,3,3
370,26/05/2023 , 21:30:00,0,0
371,26/05/2023 , 21:45:00,0,0
372,26/05/2023 , 22:00:00,0,0
373,26/05/2023 , 22:15:00,0,0
374,26/05/2023 , 22:30:00,0,0
375,26/05/2023 , 22:45:00,0,0
376,26/05/2023 , 23:00:00,0,0
377,26/05/2023 , 23:15:00,0,0
378,26/05/2023 , 23:30:00,0,0
379,26/05/2023 , 23:45:00,0,0
380,26/05/2023 , 24:00:00,0,0
381,27/05/2023 , 00:15:00,0,0
382,27/05/2023 , 00:30:00,0,0
383,27/05/2023 , 00:45:00,0,0
384,27/05/2023 , 01:00:00,0,0
385,27/05/2023 , 01:15:00,0,0
386,27/05/2023 , 01:30:00,0,0
387,27/05/2023 , 01:45:00,0,0
388,27/05/2023 , 02:00:00,0,0
389,27/05/2023 , 02:15:00,0,0
390,27/05/2023 , 02:30:00,0,0
391,27/05/2023 , 02:45:00,0,0
392,27/05/2023 , 03:00:00,0,0
393,27/05/2023 , 03:15:00,0,0
394,27/05/2023 , 03:30:00,0,0
395,27/05/2023 , 03:45:00,0,0
396,27/05/2023 , 04:00:00,0,0
397,27/05/2023 , 04:15:00,0,0
398,27/05/2023 , 04:30:00,0,0
399,27/05/2023 , 04:45:00,0,0
400,27/05/2023 , 05:00:00,0,0
401,27/05/2023 , 05:15:00,3,3
402,27/05/2023 , 05:30:00,11,11
403,27/05/2023 , 05:45:00,27,27
404,27/05/2023 , 06:00:00,49,49
405,27/05/2023 , 06:15:00,75,75
406,27/05/2023 , 06:30:00,87,87
407,27/05/2023 , 06:45:00,90,90
408,27/05/2023 , 07:00:00,113,113
409,27/05/2023 , 07:15:00,128,128
410,27/05/2023 , 07:30:00,153,153
411,27/05/2023 , 07:45:00,173,173
412,27/05/2023 , 08:00:00,188,188
413,27/05/2023 , 08:15:00,209,209
414,27/05/2023 , 08:30:00,294,294
415,27/05/2023 , 08:45:00,511,511
416,27/05/2023 , 09:00:00,1094,1094
417,27/05/2023 , 09:15:00,990,990
418,27/05/2023 , 09:30:00,1654,1654
419,27/05/2023 , 09:45:00,1910,1910
420,27/05/2023 , 10:00:00,1991,1991
421,27/05/2023 , 10:15:00,1655,1655
422,27/05/2023 , 10:30:00,1970,1970
423,27/05/2023 , 10:45:00,2452,2452
424,27/05/2023 , 11:00:00,2191,2191
425,27/05/2023 , 11:15:00,2146,2146
426,27/05/2023 , 11:30:00,2628,2628
427,27/05/2023 , 11:45:00,2927,2927
428,27/05/2023 , 12:00:00,1952,1952
429,27/05/2023 , 12:15:00,3061,3061
430,27/05/2023 , 12:30:00,3279,3279
431,27/05/2023 , 12:45:00,3262,3262
432,27/05/2023 , 13:00:00,3272,3272
433,27/05/2023 , 13:15:00,3433,3433
434,27/05/2023 , 13:30:00,3104,3104
435,27/05/2023 , 13:45:00,2899,2899
436,27/05/2023 , 14:00:00,2517,2517
437,27/05/2023 , 14:15:00,2760,2760
438,27/05/2023 , 14:30:00,2695,2695
439,27/05/2023 , 14:45:00,2629,2629
440,27/05/2023 , 15:00:00,2906,2906
441,27/05/2023 , 15:15:00,3111,3111
442,27/05/2023 , 15:30:00,3023,3023
443,27/05/2023 , 15:45:00,2920,2920
444,27/05/2023 , 16:00:00,2590,2590
445,27/05/2023 , 16:15:00,2533,2533
446,27/05/2023 , 16:30:00,2318,2318
447,27/05/2023 , 16:45:00,1976,1976
448,27/05/2023 , 17:00:00,1707,1707
449,27/05/2023 , 17:15:00,1541,1541
450,27/05/2023 , 17:30:00,1370,1370
451,27/05/2023 , 17:45:00,1257,1257
452,27/05/2023 , 18:00:00,1096,1096
453,27/05/2023 , 18:15:00,991,991
454,27/05/2023 , 18:30:00,823,823
455,27/05/2023 , 18:45:00,664,664
456,27/05/2023 , 19:00:00,547,547
457,27/05/2023 , 19:15:00,445,445
458,27/05/2023 , 19:30:00,329,329
459,27/05/2023 , 19:45:00,232,232
460,27/05/2023 , 20:00:00,152,152
461,27/05/2023 , 20:15:00,91,91
462,27/05/2023 , 20:30:00,48,48
463,27/05/2023 , 20:45:00,29,29
464,27/05/2023 , 21:00:00,14,14
465,27/05/2023 , 21:15:00,4,4
466,27/05/2023 , 21:30:00,1,1
467,27/05/2023 , 21:45:00,0,0
468,27/05/2023 , 22:00:00,0,0
469,27/05/2023 , 22:15:00,0,0
470,27/05/2023 , 22:30:00,0,0
471,27/05/2023 , 22:45:00,0,0
472,27/05/2023 , 23:00:00,0,0
473,27/05/2023 , 23:15:00,0,0
474,27/05/2023 , 23:30:00,0,0
475,27/05/2023 , 23:45:00,0,0
476,27/05/2023 , 24:00:00,0,0
477,28/05/2023 , 00:15:00,0,0
478,28/05/2023 , 00:30:00,0,0
479,28/05/2023 , 00:45:00,0,0
480,28/05/2023 , 01:00:00,0,0
481,28/05/2023 , 01:15:00,0,0
482,28/05/2023 , 01:30:00,0,0
483,28/05/2023 , 01:45:00,0,0
484,28/05/2023 , 02:00:00,0,0
485,28/05/2023 , 02:15:00,0,0
486,28/05/2023 , 02:30:00,0,0
487,28/05/2023 , 02:45:00,0,0
488,28/05/2023 , 03:00:00,0,0
489,28/05/2023 , 03:15:00,0,0
490,28/05/2023 , 03:30:00,0,0
491,28/05/2023 , 03:45:00,0,0
492,28/05/2023 , 04:00:00,0,0
493,28/05/2023 , 04:15:00,0,0
494,28/05/2023 , 04:30:00,0,0
495,28/05/2023 , 04:45:00,0,0
496,28/05/2023 , 05:00:00,0,0
497,28/05/2023 , 05:15:00,4,4
498,28/05/2023 , 05:30:00,13,13
499,28/05/2023 , 05:45:00,30,30
500,28/05/2023 , 06:00:00,60,60
501,28/05/2023 , 06:15:00,113,113
502,28/05/2023 , 06:30:00,163,163
503,28/05/2023 , 06:45:00,208,208
504,28/05/2023 , 07:00:00,241,241
505,28/05/2023 , 07:15:00,277,277
506,28/05/2023 , 07:30:00,282,282
507,28/05/2023 , 07:45:00,465,465
508,28/05/2023 , 08:00:00,679,679
509,28/05/2023 , 08:15:00,885,885
510,28/05/2023 , 08:30:00,775,775
511,28/05/2023 , 08:45:00,782,782
512,28/05/2023 , 09:00:00,729,729
513,28/05/2023 , 09:15:00,748,748
514,28/05/2023 , 09:30:00,920,920
515,28/05/2023 , 09:45:00,1191,1191
516,28/05/2023 , 10:00:00,2115,2115
517,28/05/2023 , 10:15:00,2318,2318
518,28/05/2023 , 10:30:00,1833,1833
519,28/05/2023 , 10:45:00,1771,1771
520,28/05/2023 , 11:00:00,1747,1747
521,28/05/2023 , 11:15:00,1588,1588
522,28/05/2023 , 11:30:00,1654,1654
523,28/05/2023 , 11:45:00,1483,1483
524,28/05/2023 , 12:00:00,1835,1835
525,28/05/2023 , 12:15:00,947,947
526,28/05/2023 , 12:30:00,1697,1697
527,28/05/2023 , 12:45:00,1642,1642
528,28/05/2023 , 13:00:00,1447,1447
529,28/05/2023 , 13:15:00,2256,2256
530,28/05/2023 , 13:30:00,1909,1909
531,28/05/2023 , 13:45:00,2321,2321
532,28/05/2023 , 14:00:00,2361,2361
533,28/05/2023 , 14:15:00,2532,2532
534,28/05/2023 , 14:30:00,1782,1782
535,28/05/2023 , 14:45:00,1832,1832
536,28/05/2023 , 15:00:00,1821,1821
537,28/05/2023 , 15:15:00,1821,1821
538,28/05/2023 , 15:30:00,2001,2001
539,28/05/2023 , 15:45:00,1911,1911
540,28/05/2023 , 16:00:00,1312,1312
541,28/05/2023 , 16:15:00,1306,1306
542,28/05/2023 , 16:30:00,1343,1343
543,28/05/2023 , 16:45:00,1243,1243
544,28/05/2023 , 17:00:00,1366,1366
545,28/05/2023 , 17:15:00,1404,1404
546,28/05/2023 , 17:30:00,1217,1217
547,28/05/2023 , 17:45:00,1061,1061
548,28/05/2023 , 18:00:00,965,965
549,28/05/2023 , 18:15:00,801,801
550,28/05/2023 , 18:30:00,716,716
551,28/05/2023 , 18:45:00,597,597
552,28/05/2023 , 19:00:00,461,461
553,28/05/2023 , 19:15:00,390,390
554,28/05/2023 , 19:30:00,283,283
555,28/05/2023 , 19:45:00,204,204
556,28/05/2023 , 20:00:00,145,145
557,28/05/2023 , 20:15:00,100,100
558,28/05/2023 , 20:30:00,65,65
559,28/05/2023 , 20:45:00,38,38
560,28/05/2023 , 21:00:00,16,16
561,28/05/2023 , 21:15:00,5,5
562,28/05/2023 , 21:30:00,1,1
563,28/05/2023 , 21:45:00,0,0
564,28/05/2023 , 22:00:00,0,0
565,28/05/2023 , 22:15:00,0,0
566,28/05/2023 , 22:30:00,0,0
567,28/05/2023 , 22:45:00,0,0
568,28/05/2023 , 23:00:00,0,0
569,28/05/2023 , 23:15:00,0,0
570,28/05/2023 , 23:30:00,0,0
571,28/05/2023 , 23:45:00,0,0
572,28/05/2023 , 24:00:00,0,0
573,29/05/2023 , 00:15:00,0,0
574,29/05/2023 , 00:30:00,0,0
575,29/05/2023 , 00:45:00,0,0
576,29/05/2023 , 01:00:00,0,0
577,29/05/2023 , 01:15:00,0,0
578,29/05/2023 , 01:30:00,0,0
579,29/05/2023 , 01:45:00,0,0
580,29/05/2023 , 02:00:00,0,0
581,29/05/2023 , 02:15:00,0,0
582,29/05/2023 , 02:30:00,0,0
583,29/05/2023 , 02:45:00,0,0
584,29/05/2023 , 03:00:00,0,0
585,29/05/2023 , 03:15:00,0,0
586,29/05/2023 , 03:30:00,0,0
587,29/05/2023 , 03:45:00,0,0
588,29/05/2023 , 04:00:00,0,0
589,29/05/2023 , 04:15:00,0,0
590,29/05/2023 , 04:30:00,0,0
591,29/05/2023 , 04:45:00,0,0
592,29/05/2023 , 05:00:00,0,0
593,29/05/2023 , 05:15:00,4,4
594,29/05/2023 , 05:30:00,14,14
595,29/05/2023 , 05:45:00,35,35
596,29/05/2023 , 06:00:00,65,65
597,29/05/2023 , 06:15:00,99,99
598,29/05/2023 , 06:30:00,142,142
599,29/05/2023 , 06:45:00,198,198
600,29/05/2023 , 07:00:00,232,232
601,29/05/2023 , 07:15:00,298,298
602,29/05/2023 , 07:30:00,273,273
603,29/05/2023 , 07:45:00,281,281
604,29/05/2023 , 08:00:00,332,332
605,29/05/2023 , 08:15:00,639,639
606,29/05/2023 , 08:30:00,712,712
607,29/05/2023 , 08:45:00,711,711
608,29/05/2023 , 09:00:00,833,833
609,29/05/2023 , 09:15:00,964,964
610,29/05/2023 , 09:30:00,1115,1115
611,29/05/2023 , 09:45:00,1372,1372
612,29/05/2023 , 10:00:00,1869,1869
613,29/05/2023 , 10:15:00,1903,1903
614,29/05/2023 , 10:30:00,2190,2190
615,29/05/2023 , 10:45:00,1903,1903
616,29/05/2023 , 11:00:00,1718,1718
617,29/05/2023 , 11:15:00,2204,2204
618,29/05/2023 , 11:30:00,2267,2267
619,29/05/2023 , 11:45:00,2343,2343
620,29/05/2023 , 12:00:00,2417,2417
621,29/05/2023 , 12:15:00,2240,2240
622,29/05/2023 , 12:30:00,1408,1408
623,29/05/2023 , 12:45:00,1573,1573
624,29/05/2023 , 13:00:00,1838,1838
625,29/05/2023 , 13:15:00,1974,1974
626,29/05/2023 , 13:30:00,1969,1969
627,29/05/2023 , 13:45:00,2068,2068
628,29/05/2023 , 14:00:00,1777,1777
629,29/05/2023 , 14:15:00,1859,1859
630,29/05/2023 , 14:30:00,1764,1764
631,29/05/2023 , 14:45:00,1431,1431
