#,Date-Time (PDT),Ch:1 - Temperature   (°C),Button Down,Button Up,Host Connected,End of File
266,05/25/2023 18:30:00,13.329,,,,
267,05/25/2023 18:45:00,13.329,,,,
268,05/25/2023 19:00:00,11.570,,,,
269,05/25/2023 19:15:00,11.130,,,,
270,05/25/2023 19:30:00,11.023,,,,
271,05/25/2023 19:45:00,10.948,,,,
272,05/25/2023 20:00:00,10.926,,,,
273,05/25/2023 20:15:00,11.591,,,,
274,05/25/2023 20:30:00,11.473,,,,
275,05/25/2023 20:45:00,10.658,,,,
276,05/25/2023 21:00:00,10.336,,,,
277,05/25/2023 21:15:00,12.310,,,,
278,05/25/2023 21:30:00,11.419,,,,
279,05/25/2023 21:45:00,11.398,,,,
280,05/25/2023 22:00:00,11.816,,,,
281,05/25/2023 22:15:00,10.497,,,,
282,05/25/2023 22:30:00,10.905,,,,
283,05/25/2023 22:45:00,11.066,,,,
284,05/25/2023 23:00:00,10.969,,,,
285,05/25/2023 23:15:00,11.205,,,,
286,05/25/2023 23:30:00,11.334,,,,
287,05/25/2023 23:45:00,11.709,,,,
288,05/26/2023 00:00:00,11.848,,,,
289,05/26/2023 00:15:00,11.419,,,,
290,05/26/2023 00:30:00,11.505,,,,
291,05/26/2023 00:45:00,11.655,,,,
292,05/26/2023 01:00:00,11.645,,,,
293,05/26/2023 01:15:00,11.580,,,,
294,05/26/2023 01:30:00,11.537,,,,
295,05/26/2023 01:45:00,11.559,,,,
296,05/26/2023 02:00:00,11.570,,,,
297,05/26/2023 02:15:00,11.591,,,,
298,05/26/2023 02:30:00,11.591,,,,
299,05/26/2023 02:45:00,11.602,,,,
300,05/26/2023 03:00:00,11.602,,,,
301,05/26/2023 03:15:00,11.301,,,,
302,05/26/2023 03:30:00,11.226,,,,
303,05/26/2023 03:45:00,11.108,,,,
304,05/26/2023 04:00:00,10.905,,,,
305,05/26/2023 04:15:00,10.787,,,,
306,05/26/2023 04:30:00,10.905,,,,
307,05/26/2023 04:45:00,10.872,,,,
308,05/26/2023 05:00:00,10.733,,,,
309,05/26/2023 05:15:00,10.679,,,,
310,05/26/2023 05:30:00,10.733,,,,
311,05/26/2023 05:45:00,10.926,,,,
312,05/26/2023 06:00:00,11.173,,,,
313,05/26/2023 06:15:00,11.398,,,,
314,05/26/2023 06:30:00,11.527,,,,
315,05/26/2023 06:45:00,11.999,,,,
316,05/26/2023 07:00:00,12.117,,,,
317,05/26/2023 07:15:00,12.299,,,,
318,05/26/2023 07:30:00,12.374,,,,
319,05/26/2023 07:45:00,11.966,,,,
320,05/26/2023 08:00:00,11.848,,,,
321,05/26/2023 08:15:00,11.891,,,,
322,05/26/2023 08:30:00,11.891,,,,
323,05/26/2023 08:45:00,12.256,,,,
324,05/26/2023 09:00:00,12.739,,,,
325,05/26/2023 09:15:00,13.414,,,,
326,05/26/2023 09:30:00,13.597,,,,
327,05/26/2023 09:45:00,13.468,,,,
328,05/26/2023 10:00:00,13.275,,,,
329,05/26/2023 10:15:00,12.782,,,,
330,05/26/2023 10:30:00,12.674,,,,
331,05/26/2023 10:45:00,12.717,,,,
332,05/26/2023 11:00:00,12.889,,,,
333,05/26/2023 11:15:00,12.803,,,,
334,05/26/2023 11:30:00,12.513,,,,
335,05/26/2023 11:45:00,12.406,,,,
336,05/26/2023 12:00:00,12.513,,,,
337,05/26/2023 12:15:00,12.706,,,,
338,05/26/2023 12:30:00,12.835,,,,
339,05/26/2023 12:45:00,12.835,,,,
340,05/26/2023 13:00:00,12.717,,,,
341,05/26/2023 13:15:00,12.824,,,,
342,05/26/2023 13:30:00,13.211,,,,
343,05/26/2023 13:45:00,13.404,,,,
344,05/26/2023 14:00:00,13.050,,,,
345,05/26/2023 14:15:00,12.556,,,,
346,05/26/2023 14:30:00,12.621,,,,
347,05/26/2023 14:45:00,12.685,,,,
348,05/26/2023 15:00:00,12.374,,,,
