Site Name ,6010-ZM
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,6010


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

194,25/05/2023 , 01:30:00,0,0
195,25/05/2023 , 01:45:00,0,0
196,25/05/2023 , 02:00:00,0,0
197,25/05/2023 , 02:15:00,0,0
198,25/05/2023 , 02:30:00,0,0
199,25/05/2023 , 02:45:00,0,0
200,25/05/2023 , 03:00:00,0,0
201,25/05/2023 , 03:15:00,0,0
202,25/05/2023 , 03:30:00,0,0
203,25/05/2023 , 03:45:00,0,0
204,25/05/2023 , 04:00:00,0,0
205,25/05/2023 , 04:15:00,0,0
206,25/05/2023 , 04:30:00,0,0
207,25/05/2023 , 04:45:00,0,0
208,25/05/2023 , 05:00:00,0,0
209,25/05/2023 , 05:15:00,5,5
210,25/05/2023 , 05:30:00,24,24
211,25/05/2023 , 05:45:00,60,60
212,25/05/2023 , 06:00:00,108,108
213,25/05/2023 , 06:15:00,146,146
214,25/05/2023 , 06:30:00,188,188
215,25/05/2023 , 06:45:00,221,221
216,25/05/2023 , 07:00:00,261,261
217,25/05/2023 , 07:15:00,310,310
218,25/05/2023 , 07:30:00,371,371
219,25/05/2023 , 07:45:00,407,407
220,25/05/2023 , 08:00:00,478,478
221,25/05/2023 , 08:15:00,496,496
222,25/05/2023 , 08:30:00,1161,1161
223,25/05/2023 , 08:45:00,1583,1583
224,25/05/2023 , 09:00:00,1673,1673
225,25/05/2023 , 09:15:00,1702,1702
226,25/05/2023 , 09:30:00,1651,1651
227,25/05/2023 , 09:45:00,2036,2036
228,25/05/2023 , 10:00:00,2507,2507
229,25/05/2023 , 10:15:00,2438,2438
230,25/05/2023 , 10:30:00,3586,3586
231,25/05/2023 , 10:45:00,3018,3018
232,25/05/2023 , 11:00:00,4019,4019
233,25/05/2023 , 11:15:00,4243,4243
234,25/05/2023 , 11:30:00,3890,3890
235,25/05/2023 , 11:45:00,3046,3046
236,25/05/2023 , 12:00:00,2261,2261
237,25/05/2023 , 12:15:00,2561,2561
238,25/05/2023 , 12:30:00,4669,4669
239,25/05/2023 , 12:45:00,5699,5699
240,25/05/2023 , 13:00:00,5574,5574
241,25/05/2023 , 13:15:00,6287,6287
242,25/05/2023 , 13:30:00,6842,6842
243,25/05/2023 , 13:45:00,6787,6787
244,25/05/2023 , 14:00:00,6596,6596
245,25/05/2023 , 14:15:00,6717,6717
246,25/05/2023 , 14:30:00,6322,6322
247,25/05/2023 , 14:45:00,6584,6584
248,25/05/2023 , 15:00:00,6182,6182
249,25/05/2023 , 15:15:00,6154,6154
250,25/05/2023 , 15:30:00,5573,5573
251,25/05/2023 , 15:45:00,5195,5195
252,25/05/2023 , 16:00:00,4511,4511
253,25/05/2023 , 16:15:00,4157,4157
254,25/05/2023 , 16:30:00,3606,3606
255,25/05/2023 , 16:45:00,3494,3494
256,25/05/2023 , 17:00:00,3274,3274
257,25/05/2023 , 17:15:00,3025,3025
258,25/05/2023 , 17:30:00,2552,2552
259,25/05/2023 , 17:45:00,1948,1948
260,25/05/2023 , 18:00:00,1747,1747
261,25/05/2023 , 18:15:00,1351,1351
262,25/05/2023 , 18:30:00,1287,1287
263,25/05/2023 , 18:45:00,1220,1220
264,25/05/2023 , 19:00:00,330,330
265,25/05/2023 , 19:15:00,363,363
266,25/05/2023 , 19:30:00,190,190
267,25/05/2023 , 19:45:00,105,105
268,25/05/2023 , 20:00:00,68,68
269,25/05/2023 , 20:15:00,46,46
270,25/05/2023 , 20:30:00,27,27
271,25/05/2023 , 20:45:00,26,26
272,25/05/2023 , 21:00:00,11,11
273,25/05/2023 , 21:15:00,8,8
274,25/05/2023 , 21:30:00,1,1
275,25/05/2023 , 21:45:00,0,0
276,25/05/2023 , 22:00:00,0,0
277,25/05/2023 , 22:15:00,0,0
278,25/05/2023 , 22:30:00,0,0
279,25/05/2023 , 22:45:00,0,0
280,25/05/2023 , 23:00:00,0,0
281,25/05/2023 , 23:15:00,0,0
282,25/05/2023 , 23:30:00,0,0
283,25/05/2023 , 23:45:00,0,0
284,25/05/2023 , 24:00:00,0,0
285,26/05/2023 , 00:15:00,0,0
286,26/05/2023 , 00:30:00,0,0
287,26/05/2023 , 00:45:00,0,0
288,26/05/2023 , 01:00:00,0,0
289,26/05/2023 , 01:15:00,0,0
290,26/05/2023 , 01:30:00,0,0
291,26/05/2023 , 01:45:00,0,0
292,26/05/2023 , 02:00:00,0,0
293,26/05/2023 , 02:15:00,0,0
294,26/05/2023 , 02:30:00,0,0
295,26/05/2023 , 02:45:00,0,0
296,26/05/2023 , 03:00:00,0,0
297,26/05/2023 , 03:15:00,0,0
298,26/05/2023 , 03:30:00,0,0
299,26/05/2023 , 03:45:00,0,0
300,26/05/2023 , 04:00:00,0,0
301,26/05/2023 , 04:15:00,0,0
302,26/05/2023 , 04:30:00,0,0
303,26/05/2023 , 04:45:00,0,0
304,26/05/2023 , 05:00:00,0,0
305,26/05/2023 , 05:15:00,5,5
306,26/05/2023 , 05:30:00,22,22
307,26/05/2023 , 05:45:00,54,54
308,26/05/2023 , 06:00:00,99,99
309,26/05/2023 , 06:15:00,142,142
310,26/05/2023 , 06:30:00,184,184
311,26/05/2023 , 06:45:00,222,222
312,26/05/2023 , 07:00:00,57,57
313,26/05/2023 , 07:15:00,80,80
314,26/05/2023 , 07:30:00,85,85
315,26/05/2023 , 07:45:00,104,104
316,26/05/2023 , 08:00:00,120,120
317,26/05/2023 , 08:15:00,87,87
318,26/05/2023 , 08:30:00,281,281
319,26/05/2023 , 08:45:00,372,372
320,26/05/2023 , 09:00:00,231,231
321,26/05/2023 , 09:15:00,260,260
322,26/05/2023 , 09:30:00,285,285
323,26/05/2023 , 09:45:00,276,276
324,26/05/2023 , 10:00:00,360,360
325,26/05/2023 , 10:15:00,410,410
326,26/05/2023 , 10:30:00,398,398
327,26/05/2023 , 10:45:00,516,516
328,26/05/2023 , 11:00:00,977,977
329,26/05/2023 , 11:15:00,1154,1154
330,26/05/2023 , 11:30:00,1140,1140
331,26/05/2023 , 11:45:00,1449,1449
332,26/05/2023 , 12:00:00,1322,1322
333,26/05/2023 , 12:15:00,1412,1412
334,26/05/2023 , 12:30:00,1597,1597
335,26/05/2023 , 12:45:00,1644,1644
336,26/05/2023 , 13:00:00,1596,1596
337,26/05/2023 , 13:15:00,1491,1491
338,26/05/2023 , 13:30:00,1778,1778
339,26/05/2023 , 13:45:00,2081,2081
340,26/05/2023 , 14:00:00,2220,2220
341,26/05/2023 , 14:15:00,1759,1759
342,26/05/2023 , 14:30:00,1562,1562
343,26/05/2023 , 14:45:00,1674,1674
344,26/05/2023 , 15:00:00,1724,1724
345,26/05/2023 , 15:15:00,1520,1520
346,26/05/2023 , 15:30:00,1533,1533
347,26/05/2023 , 15:45:00,1429,1429
348,26/05/2023 , 16:00:00,1313,1313
349,26/05/2023 , 16:15:00,1246,1246
350,26/05/2023 , 16:30:00,1092,1092
351,26/05/2023 , 16:45:00,758,758
352,26/05/2023 , 17:00:00,3895,3895
353,26/05/2023 , 17:15:00,3556,3556
354,26/05/2023 , 17:30:00,3094,3094
355,26/05/2023 , 17:45:00,2698,2698
356,26/05/2023 , 18:00:00,2395,2395
357,26/05/2023 , 18:15:00,2021,2021
358,26/05/2023 , 18:30:00,1513,1513
359,26/05/2023 , 18:45:00,1243,1243
360,26/05/2023 , 19:00:00,708,708
361,26/05/2023 , 19:15:00,642,642
362,26/05/2023 , 19:30:00,402,402
363,26/05/2023 , 19:45:00,287,287
364,26/05/2023 , 20:00:00,91,91
365,26/05/2023 , 20:15:00,29,29
366,26/05/2023 , 20:30:00,24,24
367,26/05/2023 , 20:45:00,8,8
368,26/05/2023 , 21:00:00,4,4
369,26/05/2023 , 21:15:00,3,3
370,26/05/2023 , 21:30:00,1,1
371,26/05/2023 , 21:45:00,0,0
372,26/05/2023 , 22:00:00,0,0
373,26/05/2023 , 22:15:00,0,0
374,26/05/2023 , 22:30:00,0,0
375,26/05/2023 , 22:45:00,0,0
376,26/05/2023 , 23:00:00,0,0
377,26/05/2023 , 23:15:00,0,0
378,26/05/2023 , 23:30:00,0,0
379,26/05/2023 , 23:45:00,0,0
380,26/05/2023 , 24:00:00,0,0
381,27/05/2023 , 00:15:00,0,0
382,27/05/2023 , 00:30:00,0,0
383,27/05/2023 , 00:45:00,0,0
384,27/05/2023 , 01:00:00,0,0
385,27/05/2023 , 01:15:00,0,0
386,27/05/2023 , 01:30:00,0,0
387,27/05/2023 , 01:45:00,0,0
388,27/05/2023 , 02:00:00,0,0
389,27/05/2023 , 02:15:00,0,0
390,27/05/2023 , 02:30:00,0,0
391,27/05/2023 , 02:45:00,0,0
392,27/05/2023 , 03:00:00,0,0
393,27/05/2023 , 03:15:00,0,0
394,27/05/2023 , 03:30:00,0,0
395,27/05/2023 , 03:45:00,0,0
396,27/05/2023 , 04:00:00,0,0
397,27/05/2023 , 04:15:00,0,0
398,27/05/2023 , 04:30:00,0,0
399,27/05/2023 , 04:45:00,0,0
400,27/05/2023 , 05:00:00,0,0
401,27/05/2023 , 05:15:00,7,7
402,27/05/2023 , 05:30:00,35,35
403,27/05/2023 , 05:45:00,100,100
404,27/05/2023 , 06:00:00,163,163
405,27/05/2023 , 06:15:00,210,210
406,27/05/2023 , 06:30:00,263,263
407,27/05/2023 , 06:45:00,366,366
408,27/05/2023 , 07:00:00,426,426
409,27/05/2023 , 07:15:00,371,371
410,27/05/2023 , 07:30:00,405,405
411,27/05/2023 , 07:45:00,401,401
412,27/05/2023 , 08:00:00,549,549
413,27/05/2023 , 08:15:00,469,469
414,27/05/2023 , 08:30:00,1173,1173
415,27/05/2023 , 08:45:00,2054,2054
416,27/05/2023 , 09:00:00,2473,2473
417,27/05/2023 , 09:15:00,2587,2587
418,27/05/2023 , 09:30:00,2477,2477
419,27/05/2023 , 09:45:00,2678,2678
420,27/05/2023 , 10:00:00,2832,2832
421,27/05/2023 , 10:15:00,3575,3575
422,27/05/2023 , 10:30:00,4105,4105
423,27/05/2023 , 10:45:00,3971,3971
424,27/05/2023 , 11:00:00,4323,4323
425,27/05/2023 , 11:15:00,4890,4890
426,27/05/2023 , 11:30:00,5427,5427
427,27/05/2023 , 11:45:00,5388,5388
428,27/05/2023 , 12:00:00,5864,5864
429,27/05/2023 , 12:15:00,5613,5613
430,27/05/2023 , 12:30:00,5742,5742
431,27/05/2023 , 12:45:00,5788,5788
432,27/05/2023 , 13:00:00,5620,5620
433,27/05/2023 , 13:15:00,5973,5973
434,27/05/2023 , 13:30:00,5778,5778
435,27/05/2023 , 13:45:00,5738,5738
436,27/05/2023 , 14:00:00,5348,5348
437,27/05/2023 , 14:15:00,4897,4897
438,27/05/2023 , 14:30:00,5112,5112
439,27/05/2023 , 14:45:00,4819,4819
440,27/05/2023 , 15:00:00,4887,4887
441,27/05/2023 , 15:15:00,4627,4627
442,27/05/2023 , 15:30:00,4522,4522
443,27/05/2023 , 15:45:00,4235,4235
444,27/05/2023 , 16:00:00,4101,4101
445,27/05/2023 , 16:15:00,3900,3900
446,27/05/2023 , 16:30:00,3714,3714
447,27/05/2023 , 16:45:00,3501,3501
448,27/05/2023 , 17:00:00,3243,3243
449,27/05/2023 , 17:15:00,2855,2855
450,27/05/2023 , 17:30:00,2616,2616
451,27/05/2023 , 17:45:00,2353,2353
452,27/05/2023 , 18:00:00,1991,1991
453,27/05/2023 , 18:15:00,1732,1732
454,27/05/2023 , 18:30:00,1520,1520
455,27/05/2023 , 18:45:00,1179,1179
456,27/05/2023 , 19:00:00,804,804
457,27/05/2023 , 19:15:00,207,207
458,27/05/2023 , 19:30:00,175,175
459,27/05/2023 , 19:45:00,148,148
460,27/05/2023 , 20:00:00,74,74
461,27/05/2023 , 20:15:00,76,76
462,27/05/2023 , 20:30:00,42,42
463,27/05/2023 , 20:45:00,64,64
464,27/05/2023 , 21:00:00,25,25
465,27/05/2023 , 21:15:00,9,9
466,27/05/2023 , 21:30:00,2,2
467,27/05/2023 , 21:45:00,0,0
468,27/05/2023 , 22:00:00,0,0
469,27/05/2023 , 22:15:00,0,0
470,27/05/2023 , 22:30:00,0,0
471,27/05/2023 , 22:45:00,0,0
472,27/05/2023 , 23:00:00,0,0
473,27/05/2023 , 23:15:00,0,0
474,27/05/2023 , 23:30:00,0,0
475,27/05/2023 , 23:45:00,0,0
476,27/05/2023 , 24:00:00,0,0
477,28/05/2023 , 00:15:00,0,0
478,28/05/2023 , 00:30:00,0,0
479,28/05/2023 , 00:45:00,0,0
480,28/05/2023 , 01:00:00,0,0
481,28/05/2023 , 01:15:00,0,0
482,28/05/2023 , 01:30:00,0,0
483,28/05/2023 , 01:45:00,0,0
484,28/05/2023 , 02:00:00,0,0
485,28/05/2023 , 02:15:00,0,0
486,28/05/2023 , 02:30:00,0,0
487,28/05/2023 , 02:45:00,0,0
488,28/05/2023 , 03:00:00,0,0
489,28/05/2023 , 03:15:00,0,0
490,28/05/2023 , 03:30:00,0,0
491,28/05/2023 , 03:45:00,0,0
492,28/05/2023 , 04:00:00,0,0
493,28/05/2023 , 04:15:00,0,0
494,28/05/2023 , 04:30:00,0,0
495,28/05/2023 , 04:45:00,0,0
496,28/05/2023 , 05:00:00,0,0
497,28/05/2023 , 05:15:00,4,4
498,28/05/2023 , 05:30:00,18,18
499,28/05/2023 , 05:45:00,48,48
500,28/05/2023 , 06:00:00,94,94
501,28/05/2023 , 06:15:00,125,125
502,28/05/2023 , 06:30:00,184,184
503,28/05/2023 , 06:45:00,245,245
504,28/05/2023 , 07:00:00,280,280
505,28/05/2023 , 07:15:00,291,291
506,28/05/2023 , 07:30:00,414,414
507,28/05/2023 , 07:45:00,520,520
508,28/05/2023 , 08:00:00,809,809
509,28/05/2023 , 08:15:00,844,844
510,28/05/2023 , 08:30:00,1017,1017
511,28/05/2023 , 08:45:00,972,972
512,28/05/2023 , 09:00:00,1332,1332
513,28/05/2023 , 09:15:00,1169,1169
514,28/05/2023 , 09:30:00,1252,1252
515,28/05/2023 , 09:45:00,1676,1676
516,28/05/2023 , 10:00:00,1535,1535
517,28/05/2023 , 10:15:00,1864,1864
518,28/05/2023 , 10:30:00,2158,2158
519,28/05/2023 , 10:45:00,1913,1913
520,28/05/2023 , 11:00:00,1839,1839
521,28/05/2023 , 11:15:00,1972,1972
522,28/05/2023 , 11:30:00,2117,2117
523,28/05/2023 , 11:45:00,3091,3091
524,28/05/2023 , 12:00:00,4106,4106
525,28/05/2023 , 12:15:00,3502,3502
526,28/05/2023 , 12:30:00,4240,4240
527,28/05/2023 , 12:45:00,4995,4995
528,28/05/2023 , 13:00:00,5357,5357
529,28/05/2023 , 13:15:00,4903,4903
530,28/05/2023 , 13:30:00,5282,5282
531,28/05/2023 , 13:45:00,4016,4016
532,28/05/2023 , 14:00:00,3915,3915
533,28/05/2023 , 14:15:00,3644,3644
534,28/05/2023 , 14:30:00,3854,3854
535,28/05/2023 , 14:45:00,3059,3059
536,28/05/2023 , 15:00:00,3738,3738
537,28/05/2023 , 15:15:00,4609,4609
538,28/05/2023 , 15:30:00,4801,4801
539,28/05/2023 , 15:45:00,4257,4257
540,28/05/2023 , 16:00:00,4126,4126
541,28/05/2023 , 16:15:00,3459,3459
542,28/05/2023 , 16:30:00,3262,3262
543,28/05/2023 , 16:45:00,2828,2828
544,28/05/2023 , 17:00:00,2718,2718
545,28/05/2023 , 17:15:00,2528,2528
546,28/05/2023 , 17:30:00,2232,2232
547,28/05/2023 , 17:45:00,2113,2113
548,28/05/2023 , 18:00:00,1828,1828
549,28/05/2023 , 18:15:00,1587,1587
550,28/05/2023 , 18:30:00,1391,1391
551,28/05/2023 , 18:45:00,1155,1155
552,28/05/2023 , 19:00:00,958,958
553,28/05/2023 , 19:15:00,780,780
554,28/05/2023 , 19:30:00,582,582
555,28/05/2023 , 19:45:00,461,461
556,28/05/2023 , 20:00:00,368,368
557,28/05/2023 , 20:15:00,254,254
558,28/05/2023 , 20:30:00,167,167
559,28/05/2023 , 20:45:00,97,97
560,28/05/2023 , 21:00:00,44,44
561,28/05/2023 , 21:15:00,14,14
562,28/05/2023 , 21:30:00,2,2
563,28/05/2023 , 21:45:00,0,0
564,28/05/2023 , 22:00:00,0,0
565,28/05/2023 , 22:15:00,0,0
566,28/05/2023 , 22:30:00,0,0
567,28/05/2023 , 22:45:00,0,0
568,28/05/2023 , 23:00:00,0,0
569,28/05/2023 , 23:15:00,0,0
570,28/05/2023 , 23:30:00,0,0
571,28/05/2023 , 23:45:00,0,0
572,28/05/2023 , 24:00:00,0,0
573,29/05/2023 , 00:15:00,0,0
574,29/05/2023 , 00:30:00,0,0
575,29/05/2023 , 00:45:00,0,0
576,29/05/2023 , 01:00:00,0,0
