Site Name ,ODYLIGHT-6420
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,6420


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

431,27/05/2023 , 12:45:00,3456,3456
432,27/05/2023 , 13:00:00,3649,3649
433,27/05/2023 , 13:15:00,3886,3886
434,27/05/2023 , 13:30:00,3850,3850
435,27/05/2023 , 13:45:00,3962,3962
436,27/05/2023 , 14:00:00,4317,4317
437,27/05/2023 , 14:15:00,4040,4040
438,27/05/2023 , 14:30:00,3770,3770
439,27/05/2023 , 14:45:00,3619,3619
440,27/05/2023 , 15:00:00,4034,4034
441,27/05/2023 , 15:15:00,3747,3747
442,27/05/2023 , 15:30:00,3675,3675
443,27/05/2023 , 15:45:00,3706,3706
444,27/05/2023 , 16:00:00,3967,3967
445,27/05/2023 , 16:15:00,4031,4031
446,27/05/2023 , 16:30:00,3837,3837
447,27/05/2023 , 16:45:00,3326,3326
448,27/05/2023 , 17:00:00,2740,2740
449,27/05/2023 , 17:15:00,2619,2619
450,27/05/2023 , 17:30:00,2370,2370
451,27/05/2023 , 17:45:00,2090,2090
452,27/05/2023 , 18:00:00,1730,1730
453,27/05/2023 , 18:15:00,1100,1100
454,27/05/2023 , 18:30:00,456,456
455,27/05/2023 , 18:45:00,597,597
456,27/05/2023 , 19:00:00,563,563
457,27/05/2023 , 19:15:00,334,334
458,27/05/2023 , 19:30:00,218,218
459,27/05/2023 , 19:45:00,185,185
460,27/05/2023 , 20:00:00,140,140
461,27/05/2023 , 20:15:00,96,96
462,27/05/2023 , 20:30:00,50,50
463,27/05/2023 , 20:45:00,28,28
464,27/05/2023 , 21:00:00,11,11
465,27/05/2023 , 21:15:00,3,3
466,27/05/2023 , 21:30:00,0,0
467,27/05/2023 , 21:45:00,0,0
468,27/05/2023 , 22:00:00,0,0
469,27/05/2023 , 22:15:00,0,0
470,27/05/2023 , 22:30:00,0,0
471,27/05/2023 , 22:45:00,0,0
472,27/05/2023 , 23:00:00,0,0
473,27/05/2023 , 23:15:00,0,0
474,27/05/2023 , 23:30:00,0,0
475,27/05/2023 , 23:45:00,0,0
476,27/05/2023 , 24:00:00,0,0
477,28/05/2023 , 00:15:00,0,0
478,28/05/2023 , 00:30:00,0,0
479,28/05/2023 , 00:45:00,0,0
