"","site_code","SEmean","length"
"481","flats38",0,1
"482","flats39",0,7
"483","flats40",1.58,1
"484","flats41",6.81272727272727,9
"485","flats42",5.9375,9
"486","flats43",1.37818181818182,9
"487","flats44",2.595,2
"488","flats45",1.16,2
"489","flats46",8.42714285714286,5
"490","flats47",3.835,4
"491","flats49",12.53625,6
"492","flats50",16.28125,6
"493","flats51",0.87,4
"494","flats52",2.78666666666667,3
"495","flats53",0.49875,7
"496","flats54",0.2,5
"497","flats55",0.536153846153846,9
"498","flats56",0.666666666666667,3
"499","flats57",1.87,2
"500","flats58",0.825833333333333,10
"501","flats59",2.66,2
"502","flats60",0.35,3
"503","flats61",0.715,4
"504","flats62",1.741,8
"505","flats63",1.055,4
"506","flats64",0.17,7
"507","flats65",0.29,2
"508","flats66",0.705,8
"509","flats67",1.32666666666667,9
"510","flats68",0.18,1
"511","flats69",0.3125,6
"512","flats70",35.09,8
"513","flats71",27.495,2
"514","flats73",15.6345454545455,8
"515","hdc2237",0.658888888888889,7
"516","hdc2239",0.546,8
"517","hdc2240",0.776666666666667,3
"518","hdc2253",0.52,2
"519","hdc2259",0.184,3
"520","hdc2262",0.3,2
"521","hdc2277",0.245,2
"522","hdc2283",0.845555555555556,7
"523","hdc2284",0.623333333333333,7
"524","hdc2308",1.485,2
"525","hdc2310",0.326666666666667,3
"526","hdc2314",0.06,2
"527","hdc2320",0,3
"528","hdc2321",0,7
"529","hdc2323",0.03,2
"530","hdc2331",0.182222222222222,6
"531","hdc2338",0.122,12
"532","hdc2344",0.144117647058824,12
"533","hdc2345",0.1,4
"534","hdc2346",0,7
"535","hdc2353",0.505714285714286,6
"536","hdc2355",0.625,2
"537","hdc2356",0.946666666666667,6
"538","hdc2359",0.57125,13
"539","hdc2364",0.2525,7
"540","hdc2365",0.553333333333333,6
"541","hdc2380",4.26,8
"542","hdc2381",1.625,8
"543","hdc2382",1.98,1
"544","hdc2383",0.804545454545455,9
"545","hdc2386",0.473333333333333,3
"546","hdc2398",0.3575,4
"547","hdc2408",0.459166666666667,9
"548","hdc2409",0.48,2
"549","hdc2410",1.03,1
"550","hdc2411",3.14,1
"551","hdc2412",1.19,1
"552","hdc2418",0.24,2
"553","hdc2426",0.76,1
"554","hdc2427",1.53,1
"555","hdc2428",3.58,1
"556","hdc2433",0.17,3
"557","hdc2447",0.585,2
"558","hdc2449",0.115,2
"559","hdc2450",0.11,2
"560","hdc2460",0.322222222222222,7
"561","hdc2465",0.47,7
"562","hdc2468",0.655,2
"563","hdc2478",0.295,2
"564","hdc2479",0.411,8
"565","hdc2487",0.305,2
"566","hdc2492",0.217142857142857,5
"567","hdc2504",0.62,2
"568","hdc2507",1.305,2
"569","hdc2511",0.338,8
"570","hdc2518",0.95,2
"571","hdc2529",0.491818181818182,9
