,sm,sensor,medium,term,estimate,std.error,statistic,p.value,r2,r2adj,,,
184,7998-air,7998,air,ody_sum,0.049638471,0.000430989,115.1734012,8.03E-48,0.997293419,0.997218236,,,
185,7998-water,7998,water,ody_sum,0.081306841,0.000454041,179.0736547,1.12E-70,0.998474298,0.998443162,,,
186,7999-air,7999,air,ody_sum,0.03894339,0.000246319,158.1016537,7.66E-168,0.9940744,0.994034631,,,
187,7999-water,7999,water,ody_sum,0.067740751,0.000412294,164.301997,2.36E-188,0.993778564,0.993741751,,,
188,8000-air,8000,air,ody_sum,0.039886037,0.000221692,179.9165269,3.43E-107,0.997503926,0.99747311,,,
189,8000-water,8000,water,ody_sum,0.064473189,0.000410881,156.9146917,1.65E-119,0.996035634,0.995995181,,,
190,8001-air,8001,air,ody_sum,0.04194617,0.000331945,126.3649244,8.32E-95,0.994952986,0.994890677,,,
191,8001-water,8001,water,ody_sum,0.065590196,0.000285215,229.9679088,9.84E-136,0.998150358,0.998131485,,,
192,8002-air,8002,air,ody_sum,0.040888091,0.000212766,192.1736185,1.67E-109,0.997811503,0.997784484,,,
193,8002-water,8002,water,ody_sum,0.066337517,0.000339153,195.5975534,7.38E-129,0.997445016,0.997418945,,,
194,8046-air,8046,air,ody_sum,0.042785253,0.000173708,246.3058958,2.03E-196,0.997549971,0.997533527,,,
195,8046-water,8046,water,ody_sum,0.076070182,0.000279897,271.7788189,3.78E-225,0.997717226,0.997703718,,,
196,8047-air,8047,air,ody_sum,0.034469226,0.000176393,195.4112057,1.74E-181,0.996113166,0.99608708,,,
197,8047-water,8047,water,ody_sum,0.062727165,0.000294311,213.132234,2.33E-207,0.9962934,0.996271468,,,
198,8048-air,8048,air,ody_sum,0.036214107,0.000240541,150.5526174,1.07E-164,0.993469235,0.993425404,,,
199,8048-water,8048,water,ody_sum,0.065077973,0.000249094,261.2588105,2.94E-222,0.997530148,0.997515534,,,
200,8049-air,8049,air,ody_sum,0.043039622,0.000138525,310.6998459,2.55E-63,0.999627215,0.99961686,,,
201,8049-water,8049,water,ody_sum,0.066769281,0.000218914,305.0021993,5.35E-82,0.999473545,0.999462801,,,
202,8050-air,8050,air,ody_sum,0.035307832,0.000224566,157.2268967,1.74E-167,0.994008677,0.993968466,,,
203,8050-water,8050,water,ody_sum,0.065652483,0.000393008,167.0513305,1.45E-189,0.993980441,0.993944822,,,
204,8051-air,8051,air,ody_sum,0.03898178,0.000126036,309.2913781,3.01E-63,0.999623813,0.999613364,,,
205,8051-water,8051,water,ody_sum,0.074800119,0.000417056,179.3527176,1.04E-70,0.998479035,0.998447995,,,
206,8052-air,8052,air,ody_sum,0.044551178,0.000210052,212.0961215,2.36E-57,0.999200369,0.999178157,,,
207,8052-water,8052,water,ody_sum,0.078185359,0.000267768,291.9889247,4.52E-81,0.999425601,0.999413878,,,
208,8053-air,8053,air,ody_sum,0.037959232,0.000316327,120.0001358,5.36E-93,0.994406476,0.99433742,,,
209,8053-water,8053,water,ody_sum,0.061760543,0.000424878,145.3604975,2.87E-116,0.995383385,0.995336277,,,
,,39627,water,,0.129468902,,,,,,,,
,,39626,water,,0.129468902,,,,,,,,
,,39627,air,,0.081530222,,,,,,,,
,,39626,air,,0.081530222,,,,,,,,
